x,v_ana,d_ana,v_gts_fo,d_gts_fo,v_gts_tvd,d_gts_tvd,v_lts_fo,d_lts_fo,v_lts_tvd,d_lts_tvd
5.625,0.0,4.0,0.0329516041109,3.97898106021,4.34432889163e-06,3.99999722593,0.0329516041109,3.97898106021,4.34432889163e-06,3.99999722593
5.675,0.0,4.0,0.0414290669985,3.9735812399,1.0826530406e-05,3.99999308671,0.0414290669985,3.9735812399,1.0826530406e-05,3.99999308671
5.725,0.0,4.0,0.0514449751373,3.96720570879,2.6266712662e-05,3.99998322738,0.0514449751373,3.96720570879,2.6266712662e-05,3.99998322738
5.775,0.0,4.0,0.0631218796623,3.95977872484,6.19757751367e-05,3.99996042538,0.0631218796623,3.95977872484,6.19757751367e-05,3.99996042538
5.825,0.0,4.0,0.0765634199738,3.95123722661,0.000142045490986,3.99990929708,0.0765634199738,3.95123722661,0.000142045490986,3.99990929708
5.875,0.0,4.0,0.0918512327927,3.94153283606,0.000315820094464,3.99979833458,0.0918512327927,3.94153283606,0.000315820094464,3.99979833458
5.925,0.0,4.0,0.109043091286,3.93063304668,0.000680131055386,3.99956571022,0.109043091286,3.93063304668,0.000680131055386,3.99956571022
5.975,0.0,4.0,0.128172311324,3.91852157145,0.00141620089642,3.9990957217,0.128172311324,3.91852157145,0.00141620089642,3.9990957217
6.025,0.0,4.0,0.149248339275,3.90519790682,0.00284560196161,3.99818309671,0.149248339275,3.90519790682,0.00284560196161,3.99818309671
6.075,0.0,4.0,0.172258340734,3.89067623285,0.0055052977681,3.99648519836,0.172258340734,3.89067623285,0.0055052977681,3.99648519836
6.125,0.0,4.0,0.197169550962,3.87498380896,0.0102308241715,3.99346927287,0.197169550962,3.87498380896,0.0102308241715,3.99346927287
6.175,0.0,4.0,0.223932126184,3.85815903975,0.0182182191932,3.9883738397,0.223932126184,3.85815903975,0.0182182191932,3.9883738397
6.225,0.0,4.0,0.252482245006,3.840249379,0.0310151656988,3.98021639861,0.252482245006,3.840249379,0.0310151656988,3.98021639861
6.275,0.0,4.0,0.282745241993,3.82130921782,0.0503869231855,3.96788272671,0.282745241993,3.82130921782,0.0503869231855,3.96788272671
6.325,0.09278927023085437,3.940968747094586,0.314638601202,3.80139787244,0.0780379549225,3.95030972886,0.314638601202,3.80139787244,0.0780379549225,3.95030972886
6.375,0.14834482578640973,3.9058350944649467,0.348074687161,3.78057775376,0.115261367093,3.92671396846,0.348074687161,3.78057775376,0.115261367093,3.92671396846
6.425,0.20390038134196597,3.8708587517105935,0.382963138044,3.75891276849,0.162723221258,3.89673095974,0.382963138044,3.75891276849,0.162723221258,3.89673095974
6.475,0.25945593689752133,3.8360397188315236,0.419212886086,3.73646697482,0.220762905318,3.86022313545,0.419212886086,3.73646697482,0.220762905318,3.86022313545
6.525,0.31501149245307847,3.801377995827738,0.456733801981,3.71330349409,0.290592238779,3.81652616405,0.456733801981,3.71330349409,0.290592238779,3.81652616405
6.575,0.3705670480086347,3.7668735826992377,0.495437982559,3.68948366458,0.364159845163,3.77101028687,0.495437982559,3.68948366458,0.364159845163,3.77101028687
6.625,0.42612260356419007,3.7325264794460216,0.535240715503,3.66506641385,0.431563898429,3.72919767917,0.535240715503,3.66506641385,0.431563898429,3.72919767917
6.675,0.4816781591197463,3.6983366860680906,0.576061162585,3.64010782114,0.495683528158,3.69026282536,0.576061162585,3.64010782114,0.495683528158,3.69026282536
6.725,0.5372337146753017,3.664304202565443,0.617822805483,3.61466083933,0.556209174214,3.6523090251,0.617822805483,3.61466083933,0.556209174214,3.6523090251
6.775,0.5927892702308588,3.6304290289380807,0.660453697247,3.58877514712,0.616801433089,3.61664418188,0.660453697247,3.58877514712,0.616801433089,3.61664418188
6.825,0.6483448257864142,3.5967111651860026,0.703886559208,3.56249710411,0.674662757808,3.58083017127,0.703886559208,3.56249710411,0.674662757808,3.58083017127
6.875,0.7039003813419704,3.5631506113092097,0.748058758561,3.53586978486,0.73220022374,3.5461356478,0.748058758561,3.53586978486,0.73220022374,3.5461356478
6.925,0.7594559368975258,3.529747367307701,0.792912196807,3.50893307133,0.789606902778,3.5124511324,0.792912196807,3.50893307133,0.789606902778,3.5124511324
6.975,0.815011492453082,3.4965014331814777,0.838393134191,3.48172378679,0.845490408688,3.47844219683,0.838393134191,3.48172378679,0.845490408688,3.47844219683
7.025,0.8705670480086383,3.4634128089305376,0.884451970518,3.45427585733,0.901246918673,3.44511975515,0.884451970518,3.45427585733,0.901246918673,3.44511975515
7.075,0.9261226035641945,3.4304814945548827,0.931042998538,3.42662049011,0.957396493023,3.4127001688,0.931042998538,3.42662049011,0.957396493023,3.4127001688
7.125,0.9816781591197499,3.397707490054512,0.978124142397,3.39878636008,1.01274452595,3.38003388633,0.978124142397,3.39878636008,1.01274452595,3.38003388633
7.175,1.0372337146753061,3.3650907954294267,1.02565669059,3.37079979876,1.06720660441,3.34745124724,1.02565669059,3.37079979876,1.06720660441,3.34745124724
7.225,1.0927892702308624,3.3326314106796264,1.07360503036,3.34268498056,1.12253784305,3.31571527521,1.07360503036,3.34268498056,1.12253784305,3.31571527521
7.275,1.1483448257864177,3.3003293358051096,1.12193638827,3.31446410346,1.17764520829,3.28416939874,1.12193638827,3.31446410346,1.17764520829,3.28416939874
7.325,1.2039003813419749,3.268184570805877,1.17062058046,3.28615756202,1.23170724366,3.25230063859,1.17062058046,3.28615756202,1.23170724366,3.25230063859
7.375,1.2594559368975302,3.2361971156819296,1.21962977417,3.25778411124,1.28622079368,3.22099895857,1.21962977417,3.25778411124,1.28622079368,3.22099895857
7.425,1.3150114924530856,3.2043669704332665,1.26893826188,3.22936102102,1.34108068207,3.19029400094,1.26893826188,3.22936102102,1.34108068207,3.19029400094
7.475,1.370567048008641,3.1726941350598885,1.31852224805,3.20090422068,1.39542124247,3.15931550365,1.31852224805,3.20090422068,1.39542124247,3.15931550365
7.525,1.426122603564198,3.141178609561793,1.36835964827,3.17242843424,1.4488858859,3.1282421236,1.36835964827,3.17242843424,1.4488858859,3.1282421236
7.575,1.4816781591197552,3.1098203939389837,1.41842989986,3.1439473065,1.50329117705,3.09781875747,1.41842989986,3.1439473065,1.50329117705,3.09781875747
7.625,1.5372337146753106,3.0786194881914613,1.46871378306,3.1154735211,1.55805131916,3.0680273521,1.46871378306,3.1154735211,1.55805131916,3.0680273521
7.675,1.592789270230866,3.0475758923192213,1.51919325114,3.087018911,1.61213527202,3.03771402642,1.51919325114,3.087018911,1.61213527202,3.03771402642
7.725,1.6483448257864213,3.0166896063222657,1.56985126801,3.05859456275,1.66519240812,3.00731055851,1.56985126801,3.05859456275,1.66519240812,3.00731055851
7.775,1.7039003813419784,2.9859606302005934,1.62067165134,3.03021091529,1.71945046491,2.97763182432,1.62067165134,3.03021091529,1.71945046491,2.97763182432
7.825,1.7594559368975338,2.9553889639542072,1.67163891925,3.00187785479,1.77405260554,2.94840469266,1.67163891925,3.00187785479,1.77405260554,2.94840469266
7.875,1.815011492453091,2.9249746075831053,1.72273813808,2.97360480657,1.8275414306,2.91865080334,1.72273813808,2.97360480657,1.8275414306,2.91865080334
7.925,1.8705670480086463,2.8947175610872886,1.77395476872,2.94540082572,1.88105842105,2.889142377,1.77395476872,2.94540082572,1.88105842105,2.889142377
7.975,1.9261226035642016,2.8646178244667553,1.82527450832,2.91727468787,1.93543933914,2.86039552047,1.82527450832,2.91727468787,1.93543933914,2.86039552047
8.025,1.9816781591197588,2.834675397721508,1.87668312397,2.88923498214,1.98960146388,2.83154570137,1.87668312397,2.88923498214,1.98960146388,2.83154570137
8.075,2.037233714675314,2.8048902808515432,1.92816627396,2.86129020813,2.0426009586,2.80229797398,1.92816627396,2.86129020813,2.0426009586,2.80229797398
8.125,2.0927892702308695,2.7752624738568654,1.97970931164,2.83344887969,2.09592162859,2.77342635863,1.97970931164,2.83344887969,2.09592162859,2.77342635863
8.175,2.1483448257864266,2.74579197673747,2.03129706562,2.8057196383,2.15046883542,2.74541042961,2.03129706562,2.8057196383,2.15046883542,2.74541042961
8.225,2.203900381341982,2.7164787894933617,2.08291358856,2.77811137986,2.20502800144,2.71755357309,2.08291358856,2.77811137986,2.20502800144,2.71755357309
8.275,2.259455936897539,2.687322912124534,2.13454186496,2.75063339932,2.25818724957,2.68899185494,2.13454186496,2.75063339932,2.25818724957,2.68899185494
8.325,2.3150114924530927,2.658324344630995,2.18616346568,2.72329555897,2.31059207571,2.66042236812,2.18616346568,2.72329555897,2.31059207571,2.66042236812
8.375,2.37056704800865,2.629483087012738,2.23775813357,2.69610848756,2.36406434314,2.63242944885,2.23775813357,2.69610848756,2.36406434314,2.63242944885
8.425,2.426122603564207,2.6007991392697676,2.28930328028,2.66908381956,2.41909088032,2.60562602933,2.28930328028,2.66908381956,2.41909088032,2.60562602933
8.475,2.4816781591197623,2.5722725014020806,2.34077336818,2.64223448643,2.47365244137,2.57854124285,2.34077336818,2.64223448643,2.47365244137,2.57854124285
8.525,2.5372337146753194,2.543903173409678,2.39213914388,2.6155750753,2.52607004947,2.55055855095,2.39213914388,2.6155750753,2.52607004947,2.55055855095
8.575,2.592789270230873,2.5156911552925614,2.44336667939,2.58912227523,2.57799894959,2.5227804464,2.44336667939,2.58912227523,2.57799894959,2.5227804464
8.625,2.64834482578643,2.4876364470507264,2.49441616371,2.56289543695,2.63135897557,2.49572070951,2.49441616371,2.56289543695,2.63135897557,2.49572070951
8.675,2.7039003813419873,2.4597390486841775,2.5452403703,2.53691728009,2.68646249646,2.47007342653,2.5452403703,2.53691728009,2.68646249646,2.47007342653
8.725,2.7594559368975426,2.4319989601929137,2.5957827033,2.51121479177,2.74025735573,2.44378191975,2.5957827033,2.51121479177,2.74025735573,2.44378191975
8.775,2.815011492453098,2.4044161815769343,2.64597469796,2.48582037288,2.79144731644,2.4167867851,2.64597469796,2.48582037288,2.79144731644,2.4167867851
8.825,2.8705670480086534,2.376990712836239,2.69573281696,2.46077330304,2.84238982629,2.39037687975,2.69573281696,2.46077330304,2.84238982629,2.39037687975
8.875,2.9261226035642105,2.349722553970829,2.74495434779,2.43612161151,2.89482621459,2.36538411468,2.74495434779,2.43612161151,2.89482621459,2.36538411468
8.925,2.9816781591197676,2.3226117049807016,2.79351217224,2.41192445553,2.94701521482,2.34156491517,2.79351217224,2.41192445553,2.94701521482,2.34156491517
8.975,3.037233714675321,2.295658165865862,2.84124816366,2.38825511318,2.99449700926,2.31739739406,2.84124816366,2.38825511318,2.99449700926,2.31739739406
9.025,3.0927892702308784,2.268861936626303,2.88796500158,2.3652046797,3.03904049725,2.29457478474,2.88796500158,2.3652046797,3.03904049725,2.29457478474
9.075,3.1483448257864337,2.2422230172620328,2.93341634207,2.34288648565,3.08232356622,2.27467082933,2.93341634207,2.34288648565,3.08232356622,2.27467082933
9.125,3.22233763402033,2.20698770767421,2.97729565702,2.32144107974,3.12078947486,2.25723378129,2.97729565702,2.32144107974,3.12078947486,2.25723378129
9.175,3.22233763402033,2.20698770767421,3.01922484815,2.30104125382,3.15082348306,2.24144769746,3.01922484815,2.30104125382,3.15082348306,2.24144769746
9.225,3.22233763402033,2.20698770767421,3.05874521801,2.28189591086,3.17494017521,2.22909463212,3.05874521801,2.28189591086,3.17494017521,2.22909463212
9.275,3.22233763402033,2.20698770767421,3.09531581806,2.26425046639,3.19509335577,2.22110021741,3.09531581806,2.26425046639,3.19509335577,2.22110021741
9.325,3.22233763402033,2.20698770767421,3.12832758876,2.24837993554,3.20852910594,2.21555059876,3.12832758876,2.24837993554,3.20852910594,2.21555059876
9.375,3.22233763402033,2.20698770767421,3.15714507757,2.23456934198,3.21531974129,2.21122668102,3.15714507757,2.23456934198,3.21531974129,2.21122668102
9.425,3.22233763402033,2.20698770767421,3.18118777342,2.22307600214,3.21898703255,2.20852959502,3.18118777342,2.22307600214,3.21898703255,2.20852959502
9.475,3.22233763402033,2.20698770767421,3.20005435114,2.21407226074,3.22178791245,2.20719786032,3.20005435114,2.21407226074,3.22178791245,2.20719786032
9.525,3.22233763402033,2.20698770767421,3.213669444,2.20757809651,3.22460439881,2.20706369624,3.213669444,2.20757809651,3.22460439881,2.20706369624
9.575,3.22233763402033,2.20698770767421,3.22239763921,2.20340904453,3.22588677962,2.20673964075,3.22239763921,2.20340904453,3.22588677962,2.20673964075
