x,v_ana,d_ana,v_gts_fo,d_gts_fo,v_gts_tvd,d_gts_tvd,v_lts_fo,d_lts_fo,v_lts_tvd,d_lts_tvd
18.425,0,1,0,1,0,1,0,1,0,1
18.475,0,1,0,1,0,1,0,1,0,1
18.525,0,1,0,1,0,1,0,1,0,1
18.575,0,1,0,1,0,1,0,1,0,1
18.625,0,1,0,1,0,1,0,1,0,1
18.675,0,1,0,1,0,1,0,1,0,1
18.725,0,1,0,1,0,1,0,1,0,1
18.775,0,1,0,1,0,1,0,1,0,1
18.825,0,1,0,1,0,1,0,1,0,1
18.875,0,1,0,1,0,1,0,1,0,1
18.925,0,1,0,1,0,1,0,1,0,1
18.975,0,1,0,1,0,1,0,1,0,1
19.025,0,1,0,1,0,1,0,1,0,1
19.075,0,1,0,1,0,1,0,1,0,1
19.125,0,1,0,1,0,1,0,1,0,1
19.175,0,1,0,1,0,1,0,1,0,1
19.225,0,1,0,1,0,1,0,1,0,1
19.275,0,1,0,1,0,1,0,1,0,1
19.325,0,1,0,1,0,1,0,1,0,1
19.375,0,1,0,1,0,1,0,1,0,1
19.425,0,1,0,1,0,1,0,1,0,1
19.475,0,1,0,1,0,1,0,1,0,1
19.525,0,1,0,1,0,1,0,1,0,1
19.575,0,1,0,1,0,1,0,1,0,1
19.625,0,1,0,1,0,1,0,1,0,1
19.675,0,1,0,1,0,1,0,1,0,1
19.725,0,1,0,1,0,1,0,1,0,1
19.775,0,1,0,1,0,1,0,1,0,1
19.825,0,1,0,1,0,1,0,1,0,1
19.875,0,1,0,1,0,1,0,1,0,1
19.925,0,1,0,1,0,1,0,1,0,1
19.975,0,1,0,1,0,1,0,1,0,1
