x,v_ana,d_ana,v_gts_fo,d_gts_fo,v_gts_tvd,d_gts_tvd,v_lts_fo,d_lts_fo,v_lts_tvd,d_lts_tvd
10.475,5.231678159119539,1.3568216073203416,5.21221736283,1.35476568709,5.17694015677,1.37764254018,5.21221736283,1.35476568709,5.17694015677,1.37764254018
10.525,5.342789270230639,1.3158139388640215,5.31918165277,1.31490273647,5.28751717515,1.33740078461,5.31918165277,1.31490273647,5.28751717515,1.33740078461
10.575,5.453900381341736,1.2754355099088421,5.42531136616,1.27590098892,5.3974703564,1.29724191768,5.42531136616,1.27590098892,5.3974703564,1.29724191768
10.625,5.565011492452836,1.2356863204547928,5.53072915091,1.23770248633,5.50791324897,1.25667333467,5.53072915091,1.23770248633,5.50791324897,1.25667333467
10.675,5.676122603563936,1.1965663705018912,5.63552710675,1.20026262293,5.61905980345,1.21619358352,5.63552710675,1.20026262293,5.61905980345,1.21619358352
10.725,5.787233714675033,1.1580756600501267,5.7397759469,1.16354612562,5.73006339169,1.17662976289,5.7397759469,1.16354612562,5.73006339169,1.17662976289
10.775,5.898344825786136,1.1202141890994994,5.84353090681,1.12752444646,5.84035935132,1.13855002183,5.84353090681,1.12752444646,5.84035935132,1.13855002183
10.825,6.009455936897233,1.0829819576500057,5.94683569709,1.09217400542,5.94995117673,1.10200448933,5.94683569709,1.09217400542,5.94995117673,1.10200448933
10.875,6.120567048008333,1.0463789657016598,6.04972522871,1.05747496702,6.05982227544,1.06650215114,6.04972522871,1.05747496702,6.05982227544,1.06650215114
10.925,6.231678159119433,1.010405213254451,6.15222753828,1.02341036417,6.16963944087,1.0315989754,6.15222753828,1.02341036417,6.16963944087,1.0315989754
10.975,6.342789270230529,0.9750607003083829,6.25436517472,0.98996545461,6.27967231485,0.996717857407,6.25436517472,0.98996545461,6.27967231485,0.996717857407
11.025,6.453900381341629,0.9403454268634448,6.35615621212,0.957127237002,6.39039251553,0.961320210117,6.35615621212,0.957127237002,6.39039251553,0.961320210117
11.075,6.565011492452726,0.906259392919651,6.45761499489,0.9248840787,6.50244751387,0.92575157168,6.45761499489,0.9248840787,6.50244751387,0.92575157168
11.125,6.676122603563826,0.8728025984770014,6.55875268477,0.89322542275,6.6114952491,0.891075903187,6.55875268477,0.89322542275,6.6114952491,0.891075903187
11.175,6.787233714674926,0.8399750435354818,6.65957765499,0.86214155136,6.72040845879,0.858030689925,6.65957765499,0.86214155136,6.72040845879,0.858030689925
11.225,6.8983448257860225,0.8077767280951029,6.76009575962,0.831623389229,6.83073525404,0.826222942304,6.76009575962,0.831623389229,6.83073525404,0.826222942304
11.275,7.009455936897126,0.7762076521558683,6.86031049331,0.80166233389,6.94034492935,0.795478194465,6.86031049331,0.80166233389,6.94034492935,0.795478194465
11.325,7.120567048008223,0.7452678157177708,6.96022304475,0.772250102376,7.05054063546,0.765364402208,6.96022304475,0.772250102376,7.05054063546,0.765364402208
11.375,7.231678159119323,0.7149572187808104,7.05983223568,0.743378584291,7.16227002274,0.735456779947,7.05983223568,0.743378584291,7.16227002274,0.735456779947
11.425,7.342789270230423,0.6852758613449836,7.1591343236,0.715039691091,7.27497948519,0.705347981907,7.1591343236,0.715039691091,7.27497948519,0.705347981907
11.475,7.453900381341519,0.6562237434103046,7.25812262933,0.68722519001,7.38951165087,0.67469004015,7.25812262933,0.68722519001,7.38951165087,0.67469004015
11.525,7.565011492452619,0.6278008649767592,7.35678692867,0.659926508698,7.50104251547,0.644222931329,7.35678692867,0.659926508698,7.50104251547,0.644222931329
11.575,7.676122603563716,0.6000072260443581,7.45511251832,0.633134493272,7.60982312163,0.615017531765,7.45511251832,0.633134493272,7.60982312163,0.615017531765
11.625,7.787233714674816,0.5728428266130869,7.55307882924,0.606839098312,7.72259258995,0.587503182764,7.55307882924,0.606839098312,7.72259258995,0.587503182764
11.675,7.898344825785916,0.5463076666829636,7.65065741384,0.581028982662,7.83527106476,0.560997970815,7.65065741384,0.581028982662,7.83527106476,0.560997970815
11.725,8.009455936897012,0.5204017462539774,7.74780907721,0.555690980485,7.9482223282,0.535188283387,7.74780907721,0.555690980485,7.9482223282,0.535188283387
